Name,Address,Phone Number,Website,Latitude,Longitude
Dr.Marcos Kengi Ito-Dentista,"Av. Mutinga, 2575 - Sala 01 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3906-9557,0,-23.4883436,-46.7483625
Dentista em Pirituba,"Av. do Anastácio, 1789 - Sobreloja - City América, São Paulo - SP, 05119-000",(11) 94779-1900,0,-23.493286,-46.7374669
Kikuti Odontologia,"Av. Mutinga, 661 - Vila Pirituba, São Paulo - SP, 05154-000",(11) 3904-6768,0,-23.4882082,-46.7334671
Dra. Meire Lucia Prati,"Av. Mutinga, 1582 - Sala 02 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3906-0114,0,-23.4845144,-46.7412181
Centro Odontológico Ikeda,"Av. Mutinga, 2276 - Sala 2 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 94571-2946,0,-23.485948,-46.7467875
Dentista Pirituba,"Av. Benedito Andrade, 450 - Pirituba, São Paulo - SP, 02936-000",(11) 3977-7335,0,-23.487275,-46.7163221
Dr. Nelson Yoshio Kikuti - Dentista,"Av. Mutinga, 661 - Vila Pirituba, São Paulo - SP, 05154-000",(11) 3904-6768,0,-23.4882071,-46.7334823
OdontoCompany Pirituba,"Av. Paula Ferreira, 2885 - Vila Pirituba, São Paulo - SP, 02915-100",(11) 3978-1550,0,-23.4888736,-46.7195521
Clínica Odontológica Fujiy,"Av. Raimundo Pereira de Magalhães, 3678 - Vila Pirituba, São Paulo - SP, 05145-200",(11) 3832-2504,0,-23.4951433,-46.7300573
Odontologia Guion & Palaoro,"Av: Mutinga, 1249 - Sala 05 - Vila Mangalot, São Paulo - SP, 05110-000",(11) 3906-0591,0,-23.4865322,-46.7387329
Clínica Dentária Pirituba (Dr. Neylor Marques),"Av. Benedito Andrade, 114 - Vila Pirituba, São Paulo - SP, 02936-000",(11) 3974-3676,0,-23.4881505,-46.7195172
Dra.Vanessa Baena Ascencio - Dentista,"Av. Mutinga, 2665 - Sala 02 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3901-0078,0,-23.48882399999999,-46.74906199999999
Queens Odonto Clínica Odontologica Em Pirituba,"Rua Brigadeiro Henrique Fontenelle, 824 - Parque Sao Domingos, São Paulo - SP, 05125-001",(11) 4564-9854,0,-23.5003388,-46.73900209999999
Odontologia,"Avenida Mutinga, São Paulo - SP CEP 05154-000, São Paulo - SP, 05154-000",0,0,-23.4879398,-46.7346979
Hospital da Prótese Dentária - Clínica de Especialidades Odontológicas,"Av. Santa Mônica, 644 sobreloja - Jardim Santa Monica, São Paulo - SP, 05171-000",(11) 3904-7318,0,-23.4780865,-46.74771370000001
Dra Cátia Menezes,"Av. Agenor Couto de Magalhães, 222 - Jardim Regina, São Paulo - SP, 05174-000",(11) 98762-3434,0,-23.4826443,-46.7396279
Dra. Mary Schweitzer Gomes,"Av. Mutinga, 2281 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3904-5856,0,-23.4862055,-46.7467463
Dra. Maura Garcia Tomiatti,"Av. Mutinga, 1719 - Sala 4 - Vila Zulmira, São Paulo - SP, 05110-000",(11) 2872-1666,0,-23.4844317,-46.74235129999999
Dr. Fabricio Baccia Molina-Dentista,"Av. Mutinga, 184 - Sala 3 , Apartamento 3 - Vila Pirituba, São Paulo - SP, 05154-000",(11) 3904-8504,0,-23.488396,-46.7289475
Dra. Veronica Paz diaz pimentel - Dentista,"Av. Benedito Andrade, 642 - Vila Pirituba, São Paulo - SP, 02936-000",(11) 3992-4279,0,-23.4874771,-46.714594
Dr Ricardo Dias de Oliveira - Dentista,"Av. Paula Ferreira, 2476 - Vila Pirituba, São Paulo - SP, 02935-050",(11) 3998-8311,0,-23.4903702,-46.7158809
LINO ODONTO,"Av. Mutinga, 2559 - Jardim Santo Elias, São Paulo - SP, 05110-000",(11) 98656-6386,0,-23.4881121,-46.7481304
Dr. Eduardo Possa da Agua,"Av. Mutinga, 3150 - 1º andar - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3977-9964,0,-23.4920854,-46.7513167
Dr. Edgard dos Santos Pimentel- Dentista,"Av. Benedito Andrade, 642 - Vila Pirituba, São Paulo - SP, 02936-000",(11) 3992-4279,0,-23.4875009,-46.7145617
Clínica Odontologica Dra. Magali H. Hiramoto-Dentista,"Av. Paula Ferreira, 2678C - Vila Pirituba, São Paulo - SP, 02916-000",(11) 3977-0082,0,-23.4893763,-46.7175522
Odonto Kelles,"Av. Benedito Andrade, 510 - Pirituba, São Paulo - SP, 01414-002",(11) 3992-4467,0,-23.4872701,-46.71587229999999
Oiff Odontologia,"Av. Paula Ferreira, 1652 - Vila Pirituba, São Paulo - SP, 02916-000",(11) 3976-0409,0,-23.4968617,-46.71227289999999
seu dentista em pirituba,"Av. Santa Mônica - Jardim Santa Monica, São Paulo - SP, 02244-000",(11) 99188-6546,0,-23.4781442,-46.7478924
Dra. Luana Vital Pessoa,"Pirituba, R. Adalberto Kurt, 71 - Jardim Libano, São Paulo - SP, 05138-040",(11) 99359-5333,0,-23.4875702,-46.730524
Dr. Tatsuo Noguchi - Dentista,"Av. Paula Ferreira, 2954 - Vila Pirituba, São Paulo - SP, 02916-000",(11) 3975-0060,0,-23.4883499,-46.7200639
Consultório Odontológico Dra. Renata Veiga,"Av. Paula Ferreira, 1579 - Vila Pirituba, São Paulo - SP, 02915-100",(11) 3975-9125,0,-23.4973785,-46.71179529999999
SOI - Soares Odontologia Integrada,"Av. Raimundo Pereira de Magalhães, 3376 - #3 - Vila Pirituba, São Paulo - SP, 05145-200",(11) 3832-8842,0,-23.496697,-46.72776249999999
Luiz Neto Odontologia Integrada,"Av. Mutinga, 1709 - Vila Zulmira, São Paulo - SP, 05110-000",0,0,-23.484381,-46.74238939999999
Dr. Hilton Gomes Ferreira,"Av. Mutinga, 1582 - Sala 2 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3906-0114,0,-23.4845144,-46.7412181
Leonardo Paião Odontologia,"Av. do Anastácio, 1789 - Sala 4 - City América, São Paulo - SP, 05119-000",(11) 94779-1900,0,-23.493286,-46.7374669
Dra. Cristina Morgado Barboza- Dentista,"Av. Paula Ferreira, 1398 - Sala 02 - Vila Pirituba, São Paulo - SP, 02916-000",(11) 3977-0210,0,-23.4986442,-46.7107021
Clínica Caixeta,"R. Domingos Moreira, 18 - Jardim Cidade Pirituba, São Paulo - SP, 02942-070",(11) 3974-4608,0,-23.4773343,-46.72065319999999
Corident,"Rua Uratinga, 152 - Vila Pirituba, São Paulo - SP, 02933-150",(11) 3975-5032,0,-23.4942119,-46.7129268
Patricia Aparecida Calderani,"R. Arruda da Câmara, 218 - Vila Pirituba, São Paulo - SP, 02935-120",(11) 3992-6006,0,-23.4869483,-46.714281
Sorridents Pirituba,"Av. Benedito Andrade, 405 - Vila Pereira Barreto, São Paulo - SP, 02936-000",(11) 3997-1717,0,-23.4872459,-46.71687049999999
Aqui Odontologia,"Av. Benedito Andrade, 358 - Sala 03 - Vila Pereira Barreto, São Paulo - SP, 02675-031",(11) 3452-1706,0,-23.4876992,-46.71722159999999
Consultorio Odontologico Dra. Marcia Teruya,"Av. Paula Ferreira, 3081 - sala03 - Vila Pirituba, São Paulo - SP, 02915-100",(11) 3972-5619,0,-23.4882652,-46.72121999999999
Dentista Ortodontia Clínico Geral,"Av. Mutinga, 2559 - Sala 01 - Jardim Mangalot, São Paulo - SP, 05135-120",(11) 3483-6232,0,-23.4881121,-46.7481304
Impla Doctors - Dra. Juliana,"Av. Paula Ferreira, 2476 - Vila Pirituba, São Paulo - SP, 02916-000",(11) 3998-8311,0,-23.4903702,-46.7158809
Amabi odontologia,"Praça Alves Barbosa, 23 - Vila Bonilha Nova, São Paulo - SP, 02935-140",(11) 2305-8297,0,-23.4890591,-46.71795760000001
Consultorio de Psicólogia Angélica Kovelis,"Av. Mutinga, 2354 - Sala 06 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 99522-8438,0,-23.4863441,-46.74752760000001
Dr Vitor Eugenio Aoki - Dentista,"Av. Benedito Andrade, 510 - Vila Pirituba, São Paulo - SP, 02936-000",(11) 3992-4467,0,-23.4872701,-46.71587229999999
Clínica Happy Smile,"Rua Giovanni Narcisi, 65 - Sao Domingos, São Paulo - SP, 05159-360",(11) 94526-4224,0,-23.4896248,-46.75437679999999
Dr. Flavio Perreira - Dentista,"Av. Benedito Andrade, 54 - Vila Pirituba, São Paulo - SP, 02936-000",(11) 3974-3780,0,-23.4880835,-46.7201288
Dra Cristiane,"Av. Paula Ferreira, 2027 - Vila Pirituba, São Paulo - SP, 02915-000",(11) 3976-0595,0,-23.4941513,-46.7147482
Dra. Cláudia Cassarini,"Av. Mutinga, 2050 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3904-2133,0,-23.4847703,-46.7451507
Radiologia Odontológica Esmeralda,"Av. Mutinga, 864 - Vila Pirituba, São Paulo - SP, 05171-000",(11) 2495-8003,0,-23.49304679999999,-46.73751670000001
Odonto Extra,"Av. Mutinga, 215 - Vila Pirituba, São Paulo - SP, 05154-000",0,0,-23.488817,-46.7292977
ODONTO CLINICA MUTINGA DENTISTA ASSOCIADOS,"Av. Mutinga, 3150 - 1 ANDAR - Jardim Mutinga, São Paulo - SP, 05110-000",0,0,-23.4921056,-46.75133229999999
Celca Odontologia,"Av. do Anastácio, 1671 - Sala 01 - Parque Sao Domingos, São Paulo - SP, 05119-000",(11) 4323-1796,0,-23.4943215,-46.7370708
Dra Luana Vital Pessoa,"Av. do Anastácio, 1485 - Parque Sao Domingos, São Paulo - SP, 05119-000",(11) 3903-4467,0,-23.4958746,-46.736537
Ondonto lilas,"Av. Paula Ferreira, 1334 - Vila Pirituba, São Paulo - SP, 02914-000",0,0,-23.4991717,-46.7105447
Noma Odontologia,"Praça Brg. Alves Seco, 26 - Vila Pirituba, São Paulo - SP, 02936-080",(11) 3972-5464,0,-23.4866304,-46.7177357
OdontoNantes,"Av. Elísio Cordeiro de Siqueira, 867 - Jardim Santo Elias, São Paulo - SP, 05136-001",0,0,-23.4989191,-46.7472092
Dra. Renata Batista Rodrigues,"Av. Mutinga, 2697 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3902-4962,0,-23.4889293,-46.7493089
Consultório Odontologico,"Av. Paula Ferreira, 1578 - Vila Pereira Cerca, São Paulo - SP, 02916-000",(11) 3976-3316,0,-23.4972291,-46.7115252
Consultorio odontológico,"Tv. Francisco Angelieri, 184 - Jardim Libano, São Paulo - SP, 05154-000",0,0,-23.488536,-46.7289714
Consultório Odontológico - Dr. Osmar Correa Neto,"Av. Miguel de Castro, 1676 - Vila Pereira Barreto, São Paulo - SP, 02950-000",(11) 3979-1096,0,-23.471979,-46.7206256
Odontologia Carvalho - Dr. Caio Carvalho,"Rua Professor Belfort Roxo, 262 - Pirituba, São Paulo - SP, 02675-031",(11) 2767-2767,0,-23.4848486,-46.7167381
Consultório Dr.Alessandro Kelles.,"Av. Benedito Andrade, 510 - SAla 2 - Vila Pirituba, São Paulo - SP, 02936-000",(11) 2129-7550,0,-23.4872668,-46.7159078
Vanessa Oliveira Alves Odontologia,"R. Silvio Bonilha, 35 - Vila Pirituba, São Paulo - SP, 02914-110",(11) 95777-9024,0,-23.5026897,-46.71120849999999
Oliveira Marques Odontologia S S Limitad,"Av. Benedito Andrade, 405 - Vila Pirituba, São Paulo - SP, 02936-000",0,0,-23.4872135,-46.7168794
Consultório/Dentista Dr. Jairo Bueno,"Av. Benedito Andrade, 483 - Vila Pirituba, São Paulo - SP, 02936-000",(11) 3991-1306,0,-23.4866874,-46.7165502
Dr. Leandro Augusto Martins,"Av. Mutinga, 2600 - Jardim Santo Elias, São Paulo - SP, 05110-000",(11) 3589-4364,0,-23.4881122,-46.74858199999999
Dr. Renan Bak,"Av. Benedito Andrade, 114 A - Vila Pirituba, São Paulo - SP, 02936-000",(11) 3974-3676,0,-23.4880264,-46.7195397
Danilo Parra Odontologia,"Rua Dr. João Batista de Bernardes Lima, 59 - Pirituba, São Paulo - SP, 05141-000",(11) 97038-9503,0,-23.49137839999999,-46.73185650000001
J&M Odontologia dentista,"R. Venâncio Diniz Junqueira, 20 - Vila Jaraguá, São Paulo - SP, 05160-000",(11) 3903-5630,0,-23.48617909999999,-46.7564828
Dr. Pedro de Paula Pertence Neto,"Av. Mutinga, 2415 - Vila Zulmira, São Paulo - SP, 05170-120",(11) 3904-5140,0,-23.4869359,-46.7476126
Seu Dentista em Pirituba,anonimo,(11) 98997-7609,0,-23.5028476187726,-46.7760730250301
Dr. Carlos Maeda - Dentista,"Av. Mutinga, 2778 - Jardim Mutinga, São Paulo - SP, 05110-000",(11) 3901-0060,0,-23.4887517,-46.7486313
Dra Regina Lopes,"Av. Paula Ferreira, 1578 - Vila Pirituba, São Paulo - SP, 02916-000",(11) 3976-3316,0,-23.4971592,-46.71161429999999
Dentista,"Av. Elísio Cordeiro de Siqueira, 689 - Jardim Santo Elias, São Paulo - SP, 05136-001",(11) 3904-3380,0,-23.5008392,-46.74764379999999
Matsubara Odontologia - City América,"Av. do Anastácio, 1809 - City América, São Paulo - SP, 05119-000",(11) 95114-6441,0,-23.4930563,-46.7375152
Cirurgiã Dentista - Arlene D.M.E Panachão,"Rua Tenente Sylvio Fleming, 25 - 01 - Vila Pirituba, São Paulo - SP, 02935-090",(11) 3978-2422,0,-23.4885237,-46.7193953
OdontoKa+ especialistas em fazer você sorrir,"Av. Elísio Cordeiro de Siqueira, 1029 - Jardim Santo Elias, São Paulo - SP, 05136-001",(11) 3902-5866,0,-23.4970095,-46.7470946
Odontomais,"Av. Benedito Andrade, 380 - Vila Pereira Barreto, São Paulo - SP, 02936-000",(11) 2369-1302,0,-23.4875613,-46.7169417
Consultório Odontológico,"Estr. das Taipas, 695 - Jaragua, São Paulo - SP, 02991-000",(11) 3943-3885,0,-23.4500494,-46.73552229999999
Consultório Odontológico Dr.Victor C. Rodrigues,"Rua Brigadeiro Henrique Fontenelle, 769 - Parque Sao Domingos, São Paulo - SP, 05125-000",(11) 4328-6486,0,-23.5008232,-46.7391625
Consultorio Odontologico,"R. Tomé de Almeida e Oliveira, 575 - Vila Zat, São Paulo - SP, 02976-190",(11) 95989-8092,0,-23.4727576,-46.7144653
Lopo Odontologia e Estética,"Av. Raimundo Pereira de Magalhães, 4434 - Jardim Iris, São Paulo - SP, 05145-200",(11) 2306-4899,0,-23.4899845,-46.7302741
Dentista,"R. Pastoril de Almenara, 28 - Parque Panamericano, São Paulo - SP, 02993-040",(11) 3944-8030,0,-23.4495994,-46.73458180000001
Clínica Rizzo Odontologia,"R. Turvânia, 203 - Jaraguá, São Paulo - SP, 05181-200",(11) 3941-2203,0,-23.455751,-46.7401878
Dra. Ana Paula Fineto,"Av. Paula Ferreira, 2767 - sala 5 - Vila Pirituba, São Paulo - SP, 02915-001",(11) 3972-0188,0,-23.4892949,-46.7183082
Ueda Mendelson Odontologia,"Av. Benedito Andrade, 349 - Vila Pirituba, São Paulo - SP, 02936-000",(11) 3971-9491,0,-23.4874381,-46.7173256
